"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R121","SM/R/0805P","-286,766mm","1,27mm","-286,766mm","2,413mm","-286,766mm","2,413mm","B","180,00",""
"TR6","TR/IND_E20_4P_V","-161,29mm","54,5465mm","-156,337mm","48,768mm","-156,337mm","48,768mm","T","180,00","Comment"
"C66","SM/R/0805P","-223,393mm","28,321mm","-223,393mm","27,178mm","-223,393mm","27,178mm","B","180,00",""
"R75","SM/R/0805P","-226,441mm","26,035mm","-226,441mm","24,892mm","-226,441mm","24,892mm","B","180,00",""
"R77","SM/R/0805P","-171,45mm","26,289mm","-171,45mm","25,146mm","-171,45mm","25,146mm","B","180,00",""
"Q22","BC337","-168,656mm","32,385mm","-167,64mm","32,385mm","-169,672mm","31,369mm","B","180,00",""
"Q22A","BC337","-170,18mm","29,718mm","-167,64mm","29,718mm","-167,64mm","29,718mm","T","180,00",""
"U10","OPTO_SMD","-216,5985mm","28,448mm","-220,726mm","29,718mm","-220,726mm","27,178mm","B","180,00",""
"R6","RES_2W","-93,726mm","34,2265mm","-93,726mm","31,115mm","-93,726mm","31,115mm","T","180,00",""
"R5","RESVER4","-83,058mm","32,258mm","-83,058mm","27,178mm","-83,058mm","27,178mm","T","180,00",""
"D32","SDO-214AB/AK","-268,097mm","4,2037mm","-268,097mm","0,635mm","-268,097mm","7,7724mm","B","180,00",""
"U3","LM2596","-278,4475mm","8,636mm","-273,05mm","11,938mm","-273,05mm","11,938mm","B","180,00",""
"S2","HI-LOK_2VIAS_PCI","-358,902mm","75,311mm","-362,077mm","75,311mm","-355,727mm","75,311mm","T","180,00",""
"S3","HI-LOK_2VIAS_PCI","-358,902mm","60,325mm","-362,077mm","60,325mm","-355,727mm","60,325mm","T","180,00",""
"S4","HI-LOK_2VIAS_PCI","-358,902mm","45,339mm","-362,077mm","45,339mm","-355,727mm","45,339mm","T","180,00",""
"S5","HI-LOK_2VIAS_PCI","-358,902mm","30,353mm","-362,077mm","30,353mm","-355,727mm","30,353mm","T","180,00",""
"D17","SDO-214AB/AK","-202,946mm","23,2283mm","-202,946mm","26,797mm","-202,946mm","19,6596mm","B","180,00",""
"R34","RES0,4M","-201,295mm","6,477mm","-201,295mm","11,557mm","-201,295mm","11,557mm","T","180,00",""
"R37","SM/R/0805P","-191,008mm","90,17mm","-191,008mm","89,027mm","-191,008mm","89,027mm","B","180,00",""
"R24","SM/R/0805P","-192,913mm","90,17mm","-192,913mm","89,027mm","-192,913mm","89,027mm","B","180,00",""
"VR2","VARISTOR2","-112,649mm","75,057mm","-112,649mm","78,867mm","-112,649mm","78,867mm","T","180,00",""
"C69","220nF/630V","-155,448mm","35,052mm","-147,828mm","35,052mm","-147,828mm","35,052mm","T","180,00",""
"C3","2N2/250VCA","-67,818mm","89,916mm","-64,008mm","89,916mm","-64,008mm","89,916mm","T","180,00",""
"R58","RES_350","-155,067mm","21,336mm","-159,512mm","21,336mm","-159,512mm","21,336mm","T","180,00",""
"L2","E42/15_H","-33,9725mm","57,15mm","-21,463mm","39,878mm","-21,463mm","74,422mm","T","180,00",""
"F","","9,017mm","17,018mm","9,017mm","17,018mm","9,017mm","17,018mm","T","180,00",""
"T","","5,08mm","2,286mm","5,08mm","2,286mm","5,08mm","2,286mm","T","180,00",""
"N","","-3,048mm","9,398mm","-3,048mm","9,398mm","-3,048mm","9,398mm","T","180,00",""
"R10","SM/R/0805P","-101,473mm","30,226mm","-101,473mm","29,083mm","-101,473mm","29,083mm","B","180,00",""
"C29","1u/305V_X2","-68,199mm","13,97mm","-68,199mm","27,686mm","-68,199mm","27,686mm","T","180,00",""
"C22","1u/305V_X2","-15,494mm","13,97mm","-15,494mm","27,686mm","-15,494mm","27,686mm","T","180,00",""
"C9","1u/305V_X2","-36,068mm","87,249mm","-49,784mm","87,249mm","-49,784mm","87,249mm","T","180,00",""
"C2","1u/305V_X2","-57,023mm","13,97mm","-57,023mm","27,686mm","-57,023mm","27,686mm","T","180,00",""
"C67","ELCO_CANECA10mm","-229,743mm","7,62mm","-229,743mm","10,16mm","-229,743mm","10,16mm","T","180,00",""
"TR1","E42/20_V_CHINA","-224,155mm","50,927mm","-240,411mm","38,481mm","-207,899mm","38,481mm","T","180,00",""
"R45","RES_350","-155,067mm","24,003mm","-159,512mm","24,003mm","-159,512mm","24,003mm","T","180,00",""
"TR2","E42/20_CHINA","-126,746mm","17,653mm","-139,192mm","33,909mm","-124,206mm","1,397mm","T","180,00",""
"J1","JSMD3","-207,5815mm","27,94mm","-206,883mm","27,94mm","-206,883mm","27,94mm","B","180,00",""
"","TRIMPOT","-290,576mm","87,122mm","-289,306mm","84,582mm","-289,306mm","89,662mm","T","180,00",""
"C24","2N2/250VCA","-220,091mm","74,93mm","-223,901mm","74,93mm","-223,901mm","74,93mm","T","180,00",""
"C18","2N2/250VCA","-229,743mm","74,93mm","-233,553mm","74,93mm","-233,553mm","74,93mm","T","180,00",""
"R89","SM/R/0805P","-92,075mm","75,057mm","-92,075mm","73,914mm","-92,075mm","73,914mm","B","180,00",""
"R88","SM/R/0805P","-92,075mm","79,756mm","-92,075mm","80,899mm","-92,075mm","80,899mm","B","180,00",""
"R87","SM/R/0805P","-88,9mm","75,057mm","-88,9mm","73,914mm","-88,9mm","73,914mm","B","180,00",""
"R86","SM/R/0805P","-85,725mm","75,057mm","-85,725mm","73,914mm","-85,725mm","73,914mm","B","180,00",""
"R85","SM/R/0805P","-88,9mm","79,756mm","-88,9mm","80,899mm","-88,9mm","80,899mm","B","180,00",""
"R28","SM/R/0805P","-85,725mm","79,756mm","-85,725mm","80,899mm","-85,725mm","80,899mm","B","180,00",""
"F1","FUSIVEL","5,461mm","24,13mm","-5,461mm","24,13mm","-5,461mm","24,13mm","T","180,00",""
"RV3","TRIMPO1","-291,846mm","87,122mm","-296,926mm","87,122mm","-286,766mm","84,582mm","T","180,00",""
"PTC1","PTC_B250","-297,053mm","10,541mm","-299,72mm","10,922mm","-299,72mm","10,922mm","T","180,00",""
"C113","470uF/16V","-297,688mm","5,207mm","-297,688mm","3,429mm","-297,688mm","3,429mm","T","180,00",""
"R145","SM/R/0805P","-292,862mm","1,016mm","-292,862mm","2,159mm","-292,862mm","2,159mm","B","180,00",""
"R138","SM/R/0805P","-298,704mm","1,016mm","-298,704mm","-0,127mm","-298,704mm","-0,127mm","B","180,00",""
"R136","SM/R/0805P","-296,799mm","1,016mm","-296,799mm","-0,127mm","-296,799mm","-0,127mm","B","180,00",""
"C111","SM/R/0805P","-266,954mm","10,16mm","-266,954mm","11,303mm","-266,954mm","11,303mm","B","360,00",""
"C108","SM/R/0805P","-294,894mm","1,016mm","-294,894mm","-0,127mm","-294,894mm","-0,127mm","B","180,00",""
"L4","CNF10x11x60","-285,623mm","3,7465mm","-279,781mm","1,27mm","-279,781mm","1,27mm","T","180,00",""
"R13","SM/R/0805P","-129,54mm","19,304mm","-129,54mm","18,161mm","-129,54mm","18,161mm","B","180,00",""
"J2","SM/R/0805P","-132,842mm","19,304mm","-132,842mm","18,161mm","-132,842mm","18,161mm","B","180,00",""
"C27","SM/R/0805P","-137,16mm","27,559mm","-137,16mm","26,416mm","-137,16mm","26,416mm","B","180,00",""
"C94","SM/R/0805P","-132,969mm","4,318mm","-132,969mm","5,461mm","-132,969mm","5,461mm","B","180,00",""
"C93","SM/R/0805P","-138,43mm","4,318mm","-138,43mm","3,175mm","-138,43mm","3,175mm","B","180,00",""
"C92","SM/R/0805P","-141,224mm","4,318mm","-141,224mm","3,175mm","-141,224mm","3,175mm","B","180,00",""
"R55","SM/R/0805P","-132,969mm","7,747mm","-132,969mm","6,604mm","-132,969mm","6,604mm","B","180,00",""
"R53","SM/R/0805P","-136,017mm","7,747mm","-136,017mm","8,89mm","-136,017mm","8,89mm","B","180,00",""
"R64","SM/R/0805P","-142,24mm","7,747mm","-142,24mm","8,89mm","-142,24mm","8,89mm","B","180,00",""
"C88","SM/R/0805P","-140,335mm","11,684mm","-140,335mm","12,827mm","-140,335mm","12,827mm","B","180,00",""
"C91","SM/R/0805P","-138,43mm","11,684mm","-138,43mm","12,827mm","-138,43mm","12,827mm","B","180,00",""
"R54","SM/R/0805P","-136,017mm","11,684mm","-136,017mm","10,541mm","-136,017mm","10,541mm","B","180,00",""
"R59","SM/R/0805P","-132,842mm","11,43mm","-132,842mm","10,287mm","-132,842mm","10,287mm","B","180,00",""
"C86","SM/R/0805P","-134,62mm","15,875mm","-134,62mm","17,018mm","-134,62mm","17,018mm","B","180,00",""
"C8","SM/R/0805P","-138,43mm","15,875mm","-138,43mm","17,018mm","-138,43mm","17,018mm","B","180,00",""
"C85","SM/R/0805P","-136,525mm","15,875mm","-136,525mm","17,018mm","-136,525mm","17,018mm","B","180,00",""
"R56","SM/R/0805P","-140,335mm","15,875mm","-140,335mm","17,018mm","-140,335mm","17,018mm","B","180,00",""
"R57","SM/R/0805P","-143,256mm","20,193mm","-143,256mm","19,05mm","-143,256mm","19,05mm","B","180,00",""
"R44","SM/R/0805P","-145,669mm","26,416mm","-145,669mm","27,559mm","-145,669mm","27,559mm","B","180,00",""
"C90","SM/R/0805P","-143,256mm","24,003mm","-143,256mm","22,86mm","-143,256mm","22,86mm","B","180,00",""
"R43","SM/R/0805P","-139,192mm","27,559mm","-139,192mm","26,416mm","-139,192mm","26,416mm","B","180,00",""
"C23","SM/R/0805P","-141,224mm","27,559mm","-141,224mm","26,416mm","-141,224mm","26,416mm","B","180,00",""
"R2","SM/R/0805P","-143,256mm","27,559mm","-143,256mm","28,702mm","-143,256mm","28,702mm","B","180,00",""
"R29","SM/R/0805P","-76,2mm","79,756mm","-76,2mm","80,899mm","-76,2mm","80,899mm","B","180,00",""
"R26","SM/R/0805P","-79,375mm","79,756mm","-79,375mm","78,613mm","-79,375mm","78,613mm","B","180,00",""
"R17","SM/R/0805P","-79,375mm","75,057mm","-79,375mm","76,2mm","-79,375mm","76,2mm","B","180,00",""
"R27","SM/R/0805P","-82,55mm","75,057mm","-82,55mm","76,2mm","-82,55mm","76,2mm","B","180,00",""
"R16","SM/R/0805P","-82,55mm","79,756mm","-82,55mm","78,613mm","-82,55mm","78,613mm","B","180,00",""
"R9","SM/R/0805P","-99,568mm","30,226mm","-99,568mm","29,083mm","-99,568mm","29,083mm","B","180,00",""
"R46","SM/R/0805P","-160,02mm","14,351mm","-160,02mm","15,494mm","-160,02mm","15,494mm","B","180,00",""
"R23","SM/R/0805P","-161,925mm","14,351mm","-161,925mm","15,494mm","-161,925mm","15,494mm","B","180,00",""
"R22","SM/R/0805P","-158,115mm","14,351mm","-158,115mm","15,494mm","-158,115mm","15,494mm","B","180,00",""
"R108","SM/R/0805P","-84,074mm","45,974mm","-84,074mm","47,117mm","-84,074mm","47,117mm","B","180,00",""
"R81","SM/R/0805P","-82,169mm","45,974mm","-82,169mm","47,117mm","-82,169mm","47,117mm","B","180,00",""
"R109","SM/R/0805P","-72,39mm","53,213mm","-72,39mm","52,07mm","-72,39mm","52,07mm","B","180,00",""
"R101","SM/R/0805P","-101,092mm","45,974mm","-101,092mm","47,117mm","-101,092mm","47,117mm","B","180,00",""
"R48","SM/R/0805P","-102,997mm","45,974mm","-102,997mm","47,117mm","-102,997mm","47,117mm","B","180,00",""
"R49","SM/R/0805P","-90,297mm","52,324mm","-90,297mm","51,181mm","-90,297mm","51,181mm","B","180,00",""
"R67","SM/R/0805P","-122,047mm","45,974mm","-122,047mm","47,117mm","-122,047mm","47,117mm","B","180,00",""
"R47","SM/R/0805P","-120,142mm","45,974mm","-120,142mm","47,117mm","-120,142mm","47,117mm","B","180,00",""
"R8","SM/R/0805P","-109,347mm","52,324mm","-109,347mm","51,181mm","-109,347mm","51,181mm","B","180,00",""
"S7","Molex_39-28-1103","-333,629mm","82,042mm","-342,011mm","84,836mm","-342,011mm","84,836mm","T","180,00",""
"S8","CON_MINI_FIT_ATX_4V","-335,7245mm","8,636mm","-329,438mm","5,842mm","-329,438mm","5,842mm","T","180,00",""
"U16","OPTO_SMD","-216,2175mm","0,762mm","-212,09mm","-0,508mm","-212,09mm","2,032mm","B","180,00",""
"R153","SM/R/0805P","-245,872mm","4,064mm","-245,872mm","5,207mm","-245,872mm","5,207mm","B","180,00",""
"R152","SM/R/0805P","-239,776mm","8,001mm","-239,776mm","9,144mm","-239,776mm","9,144mm","B","180,00",""
"Q3","BC337","-263,271mm","2,413mm","-263,271mm","1,397mm","-263,271mm","1,397mm","B","270,00",""
"Q2","BC337","-240,792mm","4,191mm","-241,808mm","4,191mm","-241,808mm","4,191mm","B","180,00",""
"R127","SM/R/0805P","-258,318mm","0,254mm","-258,318mm","1,397mm","-258,318mm","1,397mm","B","180,00",""
"C109","SM/R/0805P","-248,031mm","0,254mm","-248,031mm","1,397mm","-248,031mm","1,397mm","B","180,00",""
"R126","SM/R/0805P","-243,84mm","0,254mm","-243,84mm","1,397mm","-243,84mm","1,397mm","B","180,00",""
"D6","4007","-171,704mm","13,462mm","-171,704mm","15,875mm","-171,704mm","11,049mm","B","180,00",""
"R3","RES3","-140,843mm","45,593mm","-147,193mm","45,593mm","-147,193mm","45,593mm","T","180,00",""
"R4","RES5","-132,588mm","40,64mm","-126,238mm","40,64mm","-126,238mm","40,64mm","T","180,00",""
"C89","CDIS3","-149,479mm","51,689mm","-149,479mm","55,499mm","-149,479mm","55,499mm","T","180,00",""
"C87","CDIS3","-145,034mm","40,64mm","-148,844mm","40,64mm","-148,844mm","40,64mm","T","180,00",""
"C49","2U2/250V","-177,038mm","48,8315mm","-177,038mm","59,944mm","-177,038mm","59,944mm","T","180,00",""
"A1","DIS_5317_85","-155,448mm","65,278mm","-115,316mm","65,278mm","-115,316mm","65,278mm","T","180,00",""
"T6","S1","-313,69mm","2,413mm","-313,69mm","2,286mm","-313,69mm","2,413mm","T","180,00",""
"C64","2N2/250V","-3,81mm","0mm","-7,62mm","0mm","-7,62mm","0mm","T","180,00",""
"C61","2N2/250V","16,383mm","13,97mm","16,383mm","17,78mm","16,383mm","17,78mm","T","180,00",""
"C32","CDIS3","-197,358mm","47,625mm","-197,358mm","51,435mm","-197,358mm","51,435mm","T","180,00",""
"C20","2N2/250V","-55,88mm","86,106mm","-55,88mm","82,296mm","-55,88mm","82,296mm","T","180,00",""
"C25","2N2/250V","-17,526mm","87,376mm","-17,526mm","83,566mm","-17,526mm","83,566mm","T","180,00",""
"A2","FIDUCIAL","-226,568mm","69,723mm","-226,568mm","69,723mm","-226,568mm","69,723mm","B","180,00",""
"C26","CDIS2","-251,968mm","70,485mm","-254,508mm","70,485mm","-254,508mm","70,485mm","T","180,00",""
"C1","220N/630V","-85,725mm","11,938mm","-85,725mm","21,844mm","-85,725mm","21,844mm","T","180,00",""
"D5","4007","-97,663mm","12,192mm","-97,663mm","9,779mm","-97,663mm","14,605mm","B","180,00",""
"C7","SM/C/0805","-101,473mm","13,462mm","-101,473mm","12,319mm","-101,473mm","12,319mm","B","180,00",""
"VR1","VARISTOR2","-7,239mm","12,319mm","-7,239mm","16,129mm","-7,239mm","16,129mm","T","180,00",""
"T2","S1","14,986mm","2,286mm","14,986mm","2,286mm","14,986mm","2,286mm","T","180,00",""
"A9","FIDUCIAL","1,397mm","26,797mm","1,397mm","26,797mm","1,397mm","26,797mm","B","180,00",""
"L3","E30/14","-36,195mm","13,2715mm","-28,702mm","0,762mm","-28,702mm","25,781mm","T","180,00",""
"R102","RES4","-195,326mm","17,145mm","-195,326mm","22,225mm","-195,326mm","22,225mm","T","180,00",""
"C52","","-199,009mm","22,479mm","-199,009mm","21,209mm","-199,009mm","21,209mm","T","180,00",""
"U12","TNY275","-189,103mm","19,558mm","-192,913mm","23,368mm","-192,913mm","23,368mm","T","180,00",""
"D24","4007","-203,708mm","12,573mm","-203,708mm","10,16mm","-203,708mm","14,986mm","B","180,00",""
"R96","RES4","-192,024mm","6,604mm","-192,024mm","11,684mm","-192,024mm","11,684mm","T","180,00",""
"C63","2N2/250VCA","-195,326mm","5,207mm","-195,326mm","1,397mm","-195,326mm","1,397mm","T","180,00",""
"D25","4007","-203,708mm","4,064mm","-203,708mm","6,477mm","-203,708mm","1,651mm","B","180,00",""
"CV1","VARISTOR15","-97,663mm","-0,127mm","-93,853mm","-0,127mm","-101,473mm","-0,127mm","T","180,00",""
"P2","PONTE_GBJ","-76,835mm","13,208mm","-76,835mm","0,508mm","-76,835mm","10,668mm","T","180,00",""
"Q20","BC337","-139,065mm","7,747mm","-138,049mm","7,747mm","-138,049mm","7,747mm","B","180,00",""
"U5","TL431","-137,795mm","21,9075mm","-139,7mm","24,765mm","-135,89mm","19,05mm","B","180,00",""
"D8","4007","-132,842mm","25,146mm","-132,842mm","22,733mm","-132,842mm","27,559mm","B","180,00",""
"Q15","TO-247","-112,395mm","47,498mm","-117,475mm","47,498mm","-117,475mm","47,498mm","T","180,00",""
"D14","4007","-87,249mm","53,594mm","-87,249mm","56,007mm","-87,249mm","51,181mm","B","180,00",""
